title,date_posted,location,description,detail_url,country,state,city,source,company_name,Min Salary,Max Salary,Average Salary
Senior Manager Infrastructure and Operations - Remote Within...,2021-06-15T21:05:25.435798,"South Jordan, UT 84095","Pay is up to $165K Annually
Software Engineering - Engineering Services · Portland, Oregon
Senior Manager Infrastructure and Operations - Remote Within the US or In Office (UT, PA, CA)
Nav is democratizing small business financing. In other words, we give small business owners access and control. Yes, this challenges the norm, but it means working with curious, purpose driven, dedicated, and inquisitively smart people who push themselves, our company and the community to the next level (and every level after that). We are the people behind the tech. And when it’s good, we look for better. We don’t over think the value we bring nor spend time trying to revamp mantras. We also do not come up with some crafty way to tell you who we are and what we offer. We are Nav! Here, you’ll gain a wealth of experience, learn the tricks of the trade, and work with winners. All companies say people are connected to their mission but in our case our mission and our people are one – it is a way of being not just a cause you are committed to. And since 2013, Nav has holistically and organically developed its own ideology because Nav can only be Nav.

This role is responsible for infrastructure, cybersecurity, and all operations used to enable business capabilities and services across the enterprise. As a key member of the senior engineering leadership team this role contributes to the development and execution of the enterprise wide IT strategy and is responsible for ensuring I&O strategy is fully aligned, positioning I&O to deliver compelling business value.

WHAT WE EMPOWER YOU WITH:
Engaging with the technical teams to determine the most appropriate technical strategy and designs to meet business needs. Demonstrating broad solutions technical thought leadership, impacting significant technical direction, exerting influence outside of the immediate team and driving change.
Building successful stakeholder relationships with other engineering and business leaders by developing a clear understanding of business needs, acting as a trusted advisor, and ensuring cost-effective delivery of I&O services to meet those needs.
Operating a formal governance mechanism to establish and monitor effective controls for the processes and functions performed by I&O teams. Supports periodic reviews by internal audit, compliance teams and other risk-related functions as required.
Providing strategic direction and oversight for the full life cycle of design, development, operation, and support of IT systems. Creating and aligning an I&O value map by linking targeted business outcomes with the future-state business capabilities required to achieve them.
Developing the maturity of I&O to improve efficiency, deliver new innovations, and increase collaboration with other business areas (e.g., through Agile and DevOps).
Building and leading great teams - attract top technical talent to build high performing teams with superior technical depth, outstanding customer relationship skills, and a career focus on the DevOps, Network, Storage, and Enterprise Architecture capabilities of AWS (technical and process).

WHAT YOU BRING TO THE TABLE:
Built domains of practice that foster expertise, collaboration, and technology, yielding bar raising outcomes Which as allowed you to scale with confidence, and enable continuous identification and proliferation of validated best practices.
Provided direction to key stakeholders on what emerging technologies should be incorporated into I&O products and services to successfully deliver the overall strategy.
Exceptional leadership skills, with the ability to develop and communicate an I&O vision that inspires and motivates staff and aligns with the IT and business strategy
You are known in the ecosystem for your excellent analytical, strategic conceptual thinking, strategic planning, complex problem solving, and execution skills.
You are a strong business leader and have great business acumen, and can help link your teams work to the company objectives.
Expertise in establishing and improving DevOps, as well as other working practices (e.g., ITIL) as means to an end rather than necessarily being the ends themselves.
You have operationalized the shared responsibility model for customers, enabling them to confidently and effectively manage risk at every level. You always look through the lens of security and quality being your top priorities in every aspect of the business.
Visible IT Industry thought leadership on relevant topics related to cloud-based enterprise IT

WHO YOU ARE:
You have an entrepreneurial mindset, with a bias towards user-centric innovation.
You are comfortable operating on both strategic and tactical levels, simultaneously acting as an internal ambassador, educator, analyst, solutions architect, and implementer.
You are constantly researching and assessing companies’ best practices through networking and strategic partnerships.
You have an affinity for a hyper-growth business.
You are flexible and respond quickly and positively to shifting demands and opportunities; ability to work under tight deadlines and plan, organize and carry out multiple, detailed tasks.
You have a demonstrated ability to think strategically about business, product, and technical challenges.

INCLUSION AT NAV:
At Nav, we celebrate what makes our employees unique because the businesses we serve are progressively diverse and distinctly original. Navericks are diverse, side hustlers, immigrants, veterans, queer, and we push generational boundaries. We are college dropouts, PhDs, special needs parents, allies, pet owners and community leaders. Navericks are human. We are committed to upholding a safe, supportive environment where everyone matters. We are committed to making a better future for all of us. We have created a workplace where people of all backgrounds can express their identities authentically. To put it simply we want you to be proud to be you.

OUR COMPENSATION PHILOSOPHY IS SIMPLE BUT POWERFUL.
We believe great, enduring relationships are grounded in trust and transparency. Compensation shouldn’t be a distraction, and employees should understand how pay and career advancement decisions are made. Providing equal pay for equal work is table stakes for being a great place to work. Gender and ethnic inequity should only be something that our children read about in history books. We believe providing Navsters with company ownership, competitive pay, and a range of meaningful benefits is the start of creating a culture where people want to give the best they’ve got — not because they’re simply making money, but because they’ve fallen in love with our vision, mission, values, and team.

OUR IMPACT ON YOU:
Competitive Pay. Company Ownership. Unlimited Vacation. Benefits Day One. 6 Weeks Paid Parental Leave. Work From Anywhere (yes we were distributed before it was cool). Flexible Work Arrangements. Free Telehealth and Telemental Health For All Employees. Employee Networking and Events. Community Network Groups (women’s, PRIDE, culture). Meaningful Perks and Rewards. Learning and Development Opportunities.

A NAVERICK’S DNA:
We look at the future and say “why not”; we see possibilities where others see problems or routines. We show the way ahead and are committed to achieving ambitious goals.
We practice straight talk and listen generously to each other with empathy. We value different opinions and point of views. We ensure that we connect outside as well as inside to learn from others and inspire each other.
We hold ourselves accountable for delivering results. We choose to not to be a victim of circumstance. We make decisions & take responsibility so that we can act & support each other, rather than adopting defensive, and “finger pointing” behaviors.
As leaders, we motivate & engage our teams to undertake beyond what they originally thought possible, by developing our teams & creating the conditions for people to grow and empower themselves through enabling & coaching.",https://www.indeed.com/rc/clk?jk=689d3e5fd5f06b30&fccid=991e752d1e2c27a1&vjs=3,United States,Utah,South Jordan,indeed.com,HK Tech,165000.0,165000.0,165000.0
AWS Architect,2021-05-07T20:08:10,Remote,Responsibilities · Ability to define application solutions leveraging AWS services · Ability to guide organization to Setup AWS production and non-prod environments · Design and setup VPCs and required network configuration · Ability to design and implement Microservices leveraging EKS and Java Springboot · Define infrastructure topology and configure security requirements · Experience on Java Springboot components. · Good understanding on Microservices and the ability to design services based on business functionality · Ability to define DevOps pipeline strategy and guide implement leveraging tools like CircleCI · Work with enterprise security team to define Cloud Infrastructure and Application Security. · Review and manage technical requirements and business functional requirements. Remote conditions On-site after Covid restrictions are lifted. General skills Must have AWS 8 year(s) of experience Microservices 5 year(s) of experience JAVA 5 year(s) of experience Architect 5 year(s) of experience,https://www.indeed.com/rc/clk?jk=ebcda1d2723b3c6b&fccid=3ed0572c448b2368&vjs=3,United States,,,indeed.com,Intone Networks,,,
AWS DevOps Engineer,,Remote,"We are a small but very active team that works together closely to put out amazing product at a quick pace, and we value our DevOps team since they are so important in keeping thing running smoothly and always adding efficiencies to our process.
We are looking for a DevOps superstar that loves all things devops - pipeline construction and management, CI/CD, workflow automation, configurations, mentoring teams to teach best practices, and more!
Our ideal candidate will have:
Strong background in Linux admin
Strong background with AWS suite of products
Config mgmt experience using Ansible
High level of comfort automating workflows using python, open source tools and APIs
Kubi / Docker experience
Experience mentoring and working with the team
Good understanding of git, ideally gitlab functionality
Nice to have:
AWS certifications
Experience with elastic products
This is a remote 1099 or C2C position. We are not looking for agency placements but want to work directly with you. We need the candidate to be eligible for US employment, and the candidate must reside in the US. Video interview with screenshare required. Looking forward to meeting you!
Job Types: Full-time, Part-time, Contract
Pay: $80.00 - $95.00 per hour
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
DevOps: 3 years (Preferred)
Work Location:
Fully Remote",https://www.indeed.com/company/AutoDev-LLC/jobs/Aws-Devop-Engineer-9f5e0ff6783e097f?fccid=33e1e9ee540860f0&vjs=3,United States,,,indeed.com,AutoDev LLC,166400.0,197600.0,182000.0
Data Engineer (Remote - US Only),2021-06-23T21:05:25.935612,Remote,"Fulltime - No Sponsorship - US Remote Only
What is ArcheMedX?

We are a well-funded, revenue producing, early stage company that applies behavioral science to improve learning and generate actionable insights to improve clinical care. The ArcheMedX platform accelerates the research of new medicines and delivery of better care to millions of patients. Every member of our team has a meaningful stake in our success. If you are interested in taking on an impactful role building software that is transforming the healthcare and life science industries and truly making people’s lives better, let’s talk!

What we are looking for in a Data Engineer
Deep understanding of data warehousing and business analytic methodology best practices.
Data modeling & data lake architecture experience.
Experience working with mature ETL pipelines.
Production python & spark (or similar) experience.
SQL experience.
Experience in designing data quality metrics to monitor pipelines.
AWS specific experience.
Glue, S3, Redshift, CloudFormation, Lambda, etc...
Experience using source control (Git).
Strong synchronous and asynchronous communication skills.
Comfortable with startup culture - take initiative and require little direction.

Nice to have

Interest in behavioral science.
Passion for functional languages (like Clojure) or have a strong desire to learn!
What We Believe In

A small group of dedicated craftspeople can change the world.
Fostering a collaborate environment where team members engage with humility and respect.
Software development is a creative problem solving process.
We are all on the product team.
We all thrive to create a working environment where we constantly reassess priorities and deliver product value without chaos and interruption.
We believe in creating a tight build/measure/learn development cycle.
Everyone should wear a lot of hats.
Everyone can have good ideas.

What We Offer

The time and tools you need, and the freedom to advance in your craft.
A team of smart, like-minded, creative professionals who will constantly support and challenge you to build better solutions every day.
A safe environment where every idea is heard, where mistakes are the way we learn, and where experimentation is the rhythm of our day.
Trust that you know best how, when, and where you should work to achieve great results.
The opportunity to see your work impact end users every day.

Perks

Employee stock options
Retirement plan
Paid time off
Generous employee health, dental, and vision benefits
New Apple equipment
Continuous opportunities for professional development (Conferences / Learning Stipends)
Bi-annual company wide outings",https://www.indeed.com/rc/clk?jk=c32d770efcde1c3c&fccid=4fa13ad3d257af2c&vjs=3,United States,,,indeed.com,ArcheMedX,,,
SRE / DevOps - Europe | Remote,2021-06-01T21:05:25.973161,Remote,"Remote (Europe)
Who we are?
At Lenses.io we are on a mission to democratize streaming data, helping businesses to operate in real-time.
Our technology allows organizations to practice DataOps, a new way of consuming, processing and moving data. Our product makes working with cutting-edge open-source technologies more accessible to users and operationalizes them for enterprises. Our customers, who range from household names like Daimler-Benz and Adidas to cloud-native startups, use Lenses to help run their strategic streaming and software applications: think IoT, fraud-detection AI engines and cutting-edge consumer-facing microservices.
Looking to make a difference?
The Lenses.io SRE team is expanding, and you could be our next, new valuable member!
More often than not, SRE, DevOps, and Ops stand for way too many responsibilities to list on a single page. We are not going to lie, it’s the same for us, and our little shared secret is that we do enjoy our role —and hopefully, the same stands for you because we have a ton of work ahead of us.
There are three roles currently open:
SRE/Platform with solid abilities in SaaS and managed services (senior)
SRE/Platform, preferably with experience in Apache Kafka (mid/senior)
SRE/DevOps (mid/senior)
We also welcome junior applicants who are eager to evolve their careers.
If you are curious, open-minded, hungry, and eager to learn then Lenses.io is the place for you!
Let’s go over the role descriptions. Note that all our SREs take tasks from both tracks —that’s what we call them, platform and devops—, but the respective track is favored when it comes to architectural tasks or challenging problems.
What your day-to-day looks like:
SRE/Platform
You are focused on providing and supporting services for the company, our clients, and users. Obviously, it has to be fast, secure, scalable, and robust though we keep these descriptions for our presentations. In day-to-day life this means building blocks of infrastructure, implementing new functionality, automating, orchestrating, provisioning, keeping things up-to-date, and maintaining.
SRE/Platform with solid abilities in SaaS and managed services
We want to offer Lenses as a managed service. We have an awesome team building our portal and we are looking into the SRE who will lead the Lenses deployment architecture and implementation. The work has already started but you will play a key role in shaping the Lenses cloud. Our software connects to customers’ systems, has access to data and secrets. It will be your responsibility to make it secure. Words like SoC2 and ISO 270001 should not scare you.
SRE/DevOps
You will be supporting our product directly. Although devops is a culture, DevOps engineers are valuable members who accelerate developers by taking charge of the tough challenges for the delivery process like CICD, release automation and packaging. Mind you that these challenges are not only tough, but they are ongoing. As the product evolves, so does the delivery process.
Primary Technology Stack
The most common parts of our current stack include:
Docker
Kubernetes
Terraform
Jenkins
Google Cloud
Amazon AWS
Bash scripts
Go language
Linux servers
Apache Kafka
Helm
Of course, we touch way more technologies than just these. Our product is developed primarily using the technologies below, so part of your DevOps tasks will include interacting with them:
Scala (JVM), sbt
Javascript (React, Angular), yarn
What you will bring
Hopefully, we are going to spend many years working together. It’s important that we are compatible:
You love being an SRE and are eager to learn and become better
You have some experience in computer science (or similar) and distributed systems
You are not afraid to ask questions, give and receive feedback
You have experience in most of our primary technology stack
You have strong problem-solving skills, which for us means not only you can solve a problem but also you can explain how you did it and why your solution is correct
You are security, performance, and best-practice conscious
You are able to take responsibilities and own projects (implementation or even design-wise)
You like working in a team and you are able to push through language and cultural barriers to work with engineers all over the world
You want to automate everything
No task is beneath or above you. Documentation, support, and even little tasks are things we all do often. This applies even to our CEO!
Passionate about
Technology
Customer Success
Trying new tactics and messaging
Being part of a team
Sharing success with others
Inspiring people
Being Part of the Lenses.io team
You will join our International team with Lensiors spanning 8 countries and Offices in London, Athens, and New York. We have a distributed and remote-friendly culture to cover the full spectrum of working from a modern office to fully remote. (We are currently operating in full remote mode)
You will be defining, not following, the market
You will have a huge individual influence on the direction of the company
An opportunity to work with exceptional people at the forefront of their fields
Even More Benefits
An awesome, open, and vibrant start-up environment
Play a significant role in the development of the company and attain the opportunity for rapid career progression and personal growth
Flexible working hours
An opportunity to work with exceptional, professional people at the forefront of their fields
Be you!
Lenses.io is proud to be an equal opportunity workplace. We celebrate difference, support it, and thrive on a diverse team that represents a variety of backgrounds, perspectives, beliefs and experiences. The more inclusive we are, the better we are, and our work will be.
If you have a disability or special need that requires accommodation at any point through the interview process, please do not hesitate to let us know.
We’d love to hear from you!
careers@lenses.io",https://www.indeed.com/rc/clk?jk=d9048a4d9dcab23f&fccid=ca772fe6c144c1c8&vjs=3,United States,,,indeed.com,Lenses.io,,,
AWS Terraform Engineer,2021-06-24T21:05:25.442774,,"*
Operationalize AWS services that Amazon comes out with.
*
Hands on experience in writing terraform scripts
IAM policies.
*
Designs, develops, documents, tests, and debugs new and existing configuration management (Terraform) infrastructure as code.
*
Experience with Jenkins, AWS, Terraform and GIT as source control.
*
Documenting operational and security standards.
*
Documenting how a team would use the code snippet to deploy the code.
*
Provide top level support to the dev/ops team and integrate with existing infrastructure.
Job Types: Full-time, Contract
Pay: $70.00 - $75.00 per hour
Work Location:
Fully Remote
Work Remotely:
Temporarily due to COVID-19",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BNXk2xgUdyr5ETGBxvdKZpxp1wgYYD5eS8HMWMlfdU-1Wh9koL7n1a5HU_z8bXEnIbjeMett5kRwBTCNpzt9aqUcLhamXaUssY0WSePWE7gW4oR5O0Slv3U5sh0ysQAspOvf5wkDRgzlxi6mvyHRfCPznG_uzyPlKgVpWbSixKypyCAz78swOnL5Ni8TiIDp6q6Sq_L00mltMMxiMXTXoLm4P7B2d7GnXa60UqeNeQQooYoNbxDbmC33JMPdMAXqSR0OfH3ivfSgRcgUvuZVqO0rFnhSS-6OKzvBSr44XOcbd8rnzkAr7KtiBssKOTYTT_Q7oP2H-X1pyJHTwn_2faZMrIthm0--jTaMbU-JAhEPSvf4Ly01cOnX17iaSiiYZN3czeR96iJIYlrTiooAOAuetQWvkN4Wsc-33ryt43m8R2HylzHYHoKYdOrBhl8YKyDM0mKn3jO0EZ0sXeg3Qz3b7kwRs7O9Ase50DDlxiNA==&p=2&fvj=1&vjs=3,United States,,,indeed.com,AltechStar Inc,145600.0,156000.0,150800.0
Sr. Cloud Architect- **Remote**,2021-05-25T21:04:00,"Freeport, ME","We invite you to be part of our team of trailblazers dedicated to helping people discover and enjoy the outside. Come join us. Because on the inside we’re all outsiders. And if it’s outside, we’re all in.
L.L.Bean is currently recruiting for a Senior Cloud Architect to join our Platform Services Team. This person will provide technical & strategic leadership as well as “get their hands dirty” building and advancing our Cloud Platform Services. The Platform is the foundation to support the modernization of L.L.Bean's front-end customer technology systems to omni-channel microservices using containers, Kubernetes, and related cloud technologies. This role will have a strong influence on the architectural direction for the cloud platform, CI/CD pipeline, security management, and a goal of “automate everything”. This role will focus on evaluating and integrating cutting edge technologies through partnerships with our vendors and use of relevant open source technologies.
*** Opportunity to work REMOTE***
Senior Cloud Architect
Evangelize microservice based architecture using containerized applications; previous experience strategizing and executing on-prem to cloud transformation for large-scale applications is valuable
Create systems and configurations for GCP/GKE
Mature CI/CD - develop pipelines that build, test, and deploy applications fast, often, & automated
Advance the Site Reliability Engineering practice – monitoring/alerting, auto-scaling, security, & self-healing system stability
Support a “security first” advocacy and encourage platform solutions that enable the microservice product teams to “shift left” with vulnerability identification and resolution
Stay current on industry trends; innovate through research, proof of concepts, and demos
Collaborate and pair with the Platform team to ensure knowledge and expertise is shared & developed
Shared responsibility for 24x7 research and resolution of production system problems through participation in an on-call rotation
Ensure compliance with applicable security and privacy standards and regulations
Participates in the recruitment of team members both employees and contractor
Training and mentoring peers and management

Health and Safety Requirement: Every employee is responsible for contributing to a safe and healthy workplace. Employees are expected to be active participants in health and safety by following all safety policies and procedures, reporting unsafe conditions or at-risk behaviors to leadership, and conducting work in a safe manner. Those in a leadership role are also expected to model safe behaviors, evaluate risk, and ensure that risks are reduced to acceptable levels.

Education Level: 4-Year Bachelors Degree
Years of Industry Experience: 10+ years

Skills and Qualifications:
Technical Skills
Cloud: Google (preferred), AWS, Azure
Orchestration: GKE (preferred), AKS, EKS
CI/CD: Jenkins
Monitoring: Prometheus/Grafana (preferred), Stackdriver
Database: Mongo
API: Cloud Endpoints, Apigee
Language/scripting: Python (preferred), Bash, Node.js
Infrastructure as Code: Terraform
EDW: BigQuery
Data analysis: Splunk
Security: PCI compliance, vulnerability management tools
Testing: Automation, System, Performance
Agile – Scrum, Kanban
Tools – Jira, Confluence
Transferable Skillset
Insatiable intellectual curiosity
Strong comprehension ability to understand vision, strategy, prioritization, requirements, and issues presented by Stakeholders, Product Owner, and Team
Deliver strategic design, articulate to technical and non-technical audiences, achieve buy-in, inspire team, prototype/POC, and execute
Self-directed; works well independently
Collaborative and team oriented
Strong attention to detail in task planning, execution, and documentation
Superior analytical skills, methodical troubleshooting process, and an emphasis on root cause analysis
“Can do” positive attitude and flexibility to be able to jump in and assist on any platform efforts
If you care about the outdoors, joining L.L.Bean is a great way to feel good about what you do. Our benefits package makes a good thing even better, with programs and perks designed to support your health and financial goals. Plus, maintaining a healthy work-life balance and re-charging outside are all part of the plan. Because, when it comes to the outside—we’re all in. Visit llbeancareers.com to learn more.
From coastal marsh to alpine forest, ecosystems depend on diversity to flourish. We believe the same is true in the workplace. That’s why L.L.Bean is an equal opportunity employer, committed to sustaining our strengths by welcoming all kinds of people.",https://www.indeed.com/rc/clk?jk=7aa137d7d1df2954&fccid=ce80ec5079d3411a&vjs=3,United States,Maine,Freeport,indeed.com,L. L. Bean,,,
Senior Systems Security Officer,2021-06-22T21:05:26.122459,Remote,"Job Title: Senior Systems Security Officer
Location: US-Remote
Fulltime
I.Knowledge
A. Hardware
1. AWS Infrastructure
2. Modern Cloud Technologies
B. Software
1. DataBricks/Spark/ElasticMapReduce (some working knowledge of scalable, parallel processing)
2. Languages/Libraries
ISSOs should have a working knowledge of how programming works in general, high level understanding of different types of languages and how they are interpreted/executed. Examples include:
- Python
- Linux
- Java
- Relational databases, such as MySQL, Oracle, etc
3. AWS Security Tools/Classes
a) Understanding of Containerization (Docker, Lambda, Kubernetes)
b) Understanding of AWS and CMS security tools (Prowler, SecureHub, Nessus, TrendMicro, etc.)
4. Modern Cloud Auditing and Logging Services, such as
c) CloudWatch
d) CloudTrail
II. Experience
A. CISSP Knowledge, especially:
1. Dept. of Homeland Security - Security Directives
2. HHS/CMS Security Policies, Procedures and Directives, such as
1. CMS Acceptable Risk Safeguards (ARS) 3.1
2. CMS Risk Management Handbook
3. CMS ATO/ACT Process
4. RVA & HVA Requirements
5. CMS TRA Architecture Standards
6. CMS Target Life Cycle Management
7. CMS Agile Life Cycle Management
F. Security Controls, such as:
a) NICE Framework
b) NIST 800-53 rev 4/5
c) FedRamp
d) NIST Standards White Papers
III. Capabilities
A. Artifact Preparation (ACT Tier 1, Tier II)
B. Creation of Security Training Materials – primarily for engineers. Need to be able to translate NIST security concepts into understandable requirements for engineering team.
C. Conduct Security-related Training
D. Event Management
1. Table Top Exercise
2. Incident Response
3. Contingence Management
E. Able to become fluent in CFACTS (should at least take the next CMS class on this, experience with RSA/Archer also applicable)
F. Excellent Communications Skills
1. Effective Technical Writer
2. Good Writing Skills
G. Able to work collaboratively with a development team to articulate questions based on NIST guidance and security controls, as they develop new features and code. Also able to review technical tickets/stories, understand the high level technical concepts and changes referenced, and identify areas with security impact.
K. Be self-directed, proactive on following up on any security concerns, integrated with development team,
Job Type: Full-time
Pay: $135,000.00 - $150,000.00 per year
Schedule:
Monday to Friday
Experience:
AWS: 3 years (Preferred)
CMS or DHS or HHS: 2 years (Preferred)
License/Certification:
CISSP (Preferred)
Work Location:
Fully Remote",https://www.indeed.com/company/Cognizance-Technologies/jobs/Senior-System-Security-Officer-7a944feab60b0cc7?fccid=d400e00c8de3a03a&vjs=3,United States,,,indeed.com,Cognizance Technologies,135000.0,150000.0,142500.0
DevOps - US Remote Based [ no OPT or C2C - 11970 ],2021-06-22T21:05:26.147332,Remote,"Location: US based location required
Duration: 3+ years
The 3 top skills are:
1. AWS EKS
2. Jenkins
3. ELK Stack
Job Description:
The DevOps Engineer will be involved in the Infrastructure, Deployment and Development operations through automation for the digital systems and supporting software tools.
Automation of repeatable processes where possible
Work with team to design, build and support a robust internal PAAS (platform as a service) capability
Evangelize the principles and mindset of DevOps, drive and support various projects and initiatives
Identify and plan for optimization of resources and cost reduction wherever possible
Recommend and prove the best technology practices, principles and tools for the job
Apply experience, technical knowledge and innovative techniques to resolve complex Operations challenges.
Inspire, educate and mentor more junior engineers, helping them grow and build a solid foundation for their career.
Effectively communicate issues, risks and dependencies with project stakeholders, escalating where appropriate.
Always look for ways to empirically measure the outcome of the work we complete
The DevOps Engineer will be involved in the Infrastructure, Deployment and Development operations through
automation for the digital systems and supporting software tools.
Automation of repeatable processes where possible
Work with team to design, build and support a robust internal PAAS (platform as a service) capability
Evangelize the principles and mindset of DevOps, drive and support various projects and initiatives
Identify and plan for optimization of resources and cost reduction wherever possible
Recommend and prove the best technology practices, principles and tools for the job
Apply experience, technical knowledge and innovative techniques to resolve complex Operations challenges.
Inspire, educate and mentor more junior engineers, helping them grow and build a solid foundation for their career.
Effectively communicate issues, risks and dependencies with project stakeholders, escalating where appropriate.
Always look for ways to empirically measure the outcome of the work we complete
Qualifications
Strong experience in automation for the Enterprise.
Strong experience in Apache/Tomcat, Linux and open source technology stacks.
Experience with pertinent software tools (Jenkins, Artifactory, Vagrant, Docker, etc.)
Proven ability to develop architectures that incorporate high availability and operational scalability
Experience with Test Driven Development practices and frameworks
Knowledge of Continuous Integration/Deployment/Delivery principles, practices, tools and process
Expertise in modern cloud infrastructure, APIs and virtualization concerns is essential
Experience working with and evaluating open source technologies and demonstrated ability to make objective
choices
Ability to communicate complex architectures and insights in a clear, precise, and actionable manner
Ability to work in an agile, multi skilled team
Role
Role Responsibilities:
 Write, Review, and Approve Automation and Infrastructure code.
 Work with Project teams to build automation pipelines for application environment deployments
 Provide 3rd level operational support for Cloud Infrastructure sites.
 Evaluate potential single-points of failure within the Cloud infrastructure; Recommend risk-mitigation next steps to
build out a high availability solution.
 Will be expected to interface and support incident resolution with 1st and 2nd level support teams with all IT
problems high priority issues related to Cloud infrastructure.
 Apply experience, technical knowledge and innovative techniques to resolve complex Operations challenges.
Years of Experience: Minimum years of experience needed
 3+
Required
 Bachelor’s degree or equivalent real life experience in
IT infrastructure / App development
Required
 DevOps Practice and Cultural experience
 Security design, architecture, and operations
 Cloud Infrastructure and Enterprise IT infrastructure
knowledge
 Jenkins
 AWS Automation experience
 AWS Cloud experience: EKS, RDS, KMS, Elasticache
Desired
 ISTIO
 CI/CD background
 Artifactory
 The ELK Stack
Work Flexibility:
 Work from home (Continental U.S. Time zones)
Job Types: Full-time, Contract
Pay: $130,000.00 - $138,500.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee discount
Health insurance
Life insurance
Paid time off
Referral program
Vision insurance
Schedule:
10 hour shift
8 hour shift
Education:
Bachelor's (Preferred)
Experience:
DevOps Development: 5 years (Preferred)
AWS: 3 years (Preferred)
ELK Stack: 1 year (Preferred)
Jenkins: 3 years (Preferred)
Work Location:
Fully Remote
Work Remotely:
No",https://www.indeed.com/company/Production-Modeling-Corporation/jobs/Devop-a9d15afeb27b9759?fccid=06a24f7521934721&vjs=3,United States,,,indeed.com,Production Modeling Corporation,130000.0,138500.0,134250.0
Windows System Engineer (remote),2021-05-25T21:05:25.444882,Remote,"Job Description
Cabinetworks Group has an immediate opening for a Windows System Engineer to work remote, or at the corporate headquarters in Ann Arbor, MI!

JOB SUMMARY:

Responsible for the support and maintenance of the client/server infrastructure, including related enterprise applications and hardware. This includes operating system, application and hardware installation, maintenance and troubleshooting activities.

PRINCIPAL FUNCTIONAL RESPONSIBILITIES:
Responsible for installation, configuration and maintenance of all Windows Server platforms
Administration of Active Directory, Group Policies, DHCP, DNS and other related services
Responsible for installing and supporting virtual servers in a VMWare ESXi environment
Research, planning, implementation, and support of all Microsoft applications
Develop and manage server, storage and system configurations
Perform hardware/software installation, configuration and maintenance
Responsible for checking daily logs for backup & monitoring systems
Performs ongoing performance and system management to ensure the smooth operation and overall efficiency of the Server environment; including upgrades, security, patches, backups, performance monitoring and notification
Provide management reports and recommendations regarding resource and capacity planning
Evaluates new technologies and tools, testing and installation of new server systems hardware and software
Configuring, allocating and managing system resources (disk, memory, etc.) as needed within the server environment
Provide level 2/3 support of the client/server computing infrastructur
Participate in off-hour on-call problem resolution process.

ESSENTIAL QUALIFICATIONS AND SKILLS:
Bachelor’s degree in computer science/engineering discipline or business discipline with applied information technology training or equivalent related work experience
5+ years of information systems experience with increasing responsibility
Demonstrated in depth knowledge of Windows Server operating systems, Active Directory, Group Policy, and other related services
Advanced knowledge and proficiency with Enterprise level administration of common network services such as DNS, TCP/IP, DHCP and troubleshooting
Proven ability to function with minimal direction in completing the responsibilities of position
Working knowledge of enterprise system backup and recovery systems
Demonstrated ability to collaborate with cross functional teams
Strong troubleshooting skills
Good written and verbal communication skills
Ability to prioritize and multi-task various and conflicting responsibilities
Strong organizational skills
Root cause analysis experience
Able to lift 50 lbs
Occasional travel required.

PREFERRED QUALIFICATIONS AND SKILLS:
MCTS - Microsoft Certified Technology Specialist
MCITP - Microsoft Certified IT Professional
Citrix and Terminal Server experience
Wyse Terminal experience
Experience with cloud services (AWS, Azure, Office 365, etc.)
Shift
Full or Part Time
Full time
Cabinetworks Group (the “Company”) is an equal opportunity employer and we want to have the best available persons in every job. The Company makes employment decisions only based on merit. It is the Company’s policy to prohibit discrimination in any employment opportunity (including but not limited to recruitment, employment, promotion, salary increases, benefits, termination and all other terms and conditions of employment) based on race, color, sex, sexual orientation, gender, gender identity, gender expression, genetic information, pregnancy, religious creed, national origin, ancestry, age, physical/mental disability, medical condition, marital/domestic partner status, military and veteran status, height, weight or any other such characteristic protected by federal, state or local law. The Company is committed to complying with all applicable laws providing equal employment opportunities. This commitment applies to all persons involved in the operations of the Company regardless of where the employee is located and prohibits unlawful discrimination by any employee of the Company.
Cabinetworks Group is an E-Verify employer. E-Verify is an Internet based system operated by the Department of Homeland Security (DHS) in partnership with the Social Security Administration (SSA) that allows participating employers to electronically verify the employment eligibility of their newly hired employees in the United States.",https://www.indeed.com/rc/clk?jk=0e76bf4fce30d269&fccid=acc418423036caa7&vjs=3,United States,,,indeed.com,Cabinetworks Group,,,
